Operon,Length (nt),ID,Elongation Rate (nt/s),Elongation Rate err,Chisq
mtlADR,3879,1690,24.5753,1.07371,1282.99
ndh,1305,518,24.713,1.27548,83.2061
ybiU,1266,388,24.7977,1.50757,59.3808
aer,1521,1476,25.2379,0.768512,322.726
proBA,2369,113,25.3147,6.03697,69.7414
gnd,1407,1011,25.5966,0.944155,200.577
yacC-speED,2130,45,25.6576,8.24918,20.2217
hrpA,3846,671,25.688,2.87478,550.057
entS,1251,284,25.993,1.9583,29.623
fadE,2445,100,26.0462,12.8856,43.3389
oppABCDF,5587,594,26.0519,1.07787,638.021
yecDE,1382,930,26.2033,1.00737,177.787
pgi,1650,1869,26.4517,0.709125,429.151
ydcJ,1344,680,26.5462,1.21258,114.652
gltA,1284,338,26.5472,2.13702,422.472
yjcE,1650,1896,26.588,0.70933,415.851
ydbK,3525,656,26.6598,2.36953,517.924
yjbB,1632,1864,27.152,0.727103,412.637
mscM,1248,277,27.2151,2.08454,25.9505
sdaA,1365,898,27.3179,1.05615,177.397
glrK,1428,1230,27.3847,0.912259,259.94
aldB,1539,1684,27.6021,0.770674,564.096
eptA,1644,1909,27.8645,0.753629,552.761
yjjK,1668,2040,27.8686,0.716708,451.674
tsr,1656,2024,27.9873,0.722914,461.262
glpD,1506,1598,28.0636,0.811938,347.156
yifB,1551,1747,28.3739,0.792833,380.629
aidB,1626,1941,28.4707,0.748718,438.115
gltX,1416,1168,28.5898,0.987333,294.745
bglA,1440,1393,28.7394,0.892565,293.585
yjcC,1587,1893,29.4059,0.790543,422.577
def-fmt,1472,1563,29.4763,0.845804,387.432
rpoBC,8329,1849,29.8139,0.916555,1032.7
pitA,1500,1629,29.842,0.869055,367.73
yhjJ,1497,1652,30.3723,0.867511,380.148
yibIH,1502,1689,30.4266,0.861124,366.253
betT,2034,143,30.8157,19.422,101.503
ygbLM,1420,1312,30.9651,1.00526,277.038
tldD,1446,1549,31.267,0.922767,337.008
dtpB,1470,1632,31.5044,0.901903,443.789
yddW,1320,721,31.7135,1.41048,124.975
